"","ideology","norm_news","norm_branches","norm_officials","norm_facts","egal_equalop","egal_worryless","egal_notbigprob","egal_fewerprobs","moraltrad_adjmoral","moraltrad_moretrad","auth_childind","auth_childcur","auth_childobed","auth_childconsid","education","sex","interest","econ_perc","age"
"1375",4,5,5,5,2,1,5,5,1,1,3,2,2,1,2,"Less than high school","Female","Somewhat interested","Much better off","18-29"
"1376",3,1,4,5,3,1,5,5,2,2,1,2,2,1,1,"Less than high school","Female","Not much interested","Somewhat worse off",NA
"1377",2,5,5,5,5,1,5,4,2,1,4,1,1,2,1,"Less than high school","Male","Somewhat interested","About the same","50-64"
"1378",4,5,5,4,4,1,2,4,4,2,3,1,2,1,1,"Less than high school","Female","Not much interested","Somewhat worse off","30-49"
"1379",4,5,4,5,5,1,2,4,1,2,3,2,1,2,1,"Less than high school","Male","Very much interested","About the same","30-49"
"1380",NA,4,4,4,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Less than high school","Male","Very much interested","Somewhat worse off","50-64"
"1381",5,2,4,5,3,2,2,4,4,4,2,2,2,1,1,"Less than high school","Female","Somewhat interested","About the same","30-49"
"1382",6,1,5,4,3,1,2,5,1,5,1,2,1,1,1,"Less than high school","Female","Very much interested","Much better off","50-64"
"1383",1,5,5,5,5,1,2,2,2,4,3,2,1,2,1,"Less than high school","Female","Very much interested","About the same","65+"
"1384",6,4,5,5,4,1,2,2,3,2,1,2,2,1,1,"Less than high school","Male","Very much interested","Somewhat better off","50-64"
"1385",2,5,5,5,4,1,5,5,1,2,5,2,2,2,1,"Less than high school","Female","Very much interested","About the same","50-64"
"1386",4,3,5,5,5,5,1,1,5,5,1,2,2,1,1,"Less than high school","Male","Very much interested","About the same","65+"
"1387",6,1,5,5,5,2,5,3,4,5,1,2,2,1,2,"Less than high school","Female","Very much interested","Much better off","50-64"
"1388",6,3,5,5,4,3,2,2,4,4,2,2,2,1,2,"Less than high school","Male","Somewhat interested","Somewhat better off","30-49"
"1389",2,5,5,5,5,2,5,5,1,1,5,1,1,2,1,"Less than high school","Male","Very much interested","Much worse off","30-49"
"1390",3,5,5,5,5,2,5,4,1,5,2,1,1,2,1,"Less than high school","Female","Very much interested","About the same","50-64"
"1391",4,4,5,5,5,1,5,5,1,2,2,2,1,2,1,"Less than high school","Female","Not much interested","About the same","50-64"
"1392",NA,4,2,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Less than high school","Female","Somewhat interested","Much worse off","50-64"
"1393",6,4,4,5,5,1,1,1,3,5,1,2,2,2,2,"Less than high school","Male","Very much interested","About the same","65+"
"1394",2,3,3,3,3,2,2,2,3,3,3,2,2,1,2,NA,"Female","Somewhat interested",NA,"65+"
"1395",4,1,3,3,3,2,1,2,2,1,1,2,2,1,2,"Less than high school","Female","Somewhat interested","Much better off","30-49"
"1396",4,5,5,5,5,1,5,5,2,3,3,1,1,2,1,"Less than high school","Male","Somewhat interested","Somewhat better off","30-49"
"1397",2,4,4,5,4,1,5,5,1,3,5,2,1,2,1,"Less than high school","Male","Very much interested","About the same","50-64"
"1398",3,5,5,5,4,2,4,4,2,2,2,2,1,2,1,"Less than high school","Male","Very much interested","About the same","65+"
"1399",6,4,5,4,4,2,2,4,2,2,1,2,2,1,1,"Less than high school","Male","Not much interested","Much better off","30-49"
"1400",4,3,3,4,3,2,3,3,3,2,2,2,2,2,1,"Less than high school","Female","Very much interested","About the same","65+"
"1401",3,5,5,5,5,2,2,3,3,4,4,1,1,2,2,"Less than high school","Male","Very much interested","Somewhat worse off","30-49"
"1402",3,3,4,5,4,1,5,5,1,1,2,1,2,2,1,"Less than high school","Female","Not much interested","Somewhat worse off","30-49"
"1403",2,3,5,5,5,1,5,5,1,1,5,2,1,2,1,"Less than high school","Female","Somewhat interested","About the same","30-49"
"1404",NA,2,4,4,3,5,2,2,5,4,2,2,2,2,1,"Less than high school","Female","Somewhat interested","About the same","50-64"
"1405",7,2,4,4,1,4,2,4,2,5,1,2,2,1,2,"Less than high school","Female","Very much interested","Much worse off","65+"
"1406",1,5,5,5,5,1,5,5,2,4,5,1,2,2,1,"Less than high school","Female","Very much interested","Somewhat worse off","50-64"
"1407",NA,3,5,5,4,1,3,5,1,2,3,2,2,1,1,"Less than high school","Female","Somewhat interested","About the same","18-29"
"1408",6,1,1,5,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Less than high school","Male","Somewhat interested","Somewhat better off","50-64"
"1409",6,5,5,5,3,3,2,3,4,3,1,1,2,2,1,"Less than high school","Male","Very much interested","Somewhat worse off","50-64"
"1410",6,1,5,3,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Less than high school","Female","Somewhat interested","Much better off","30-49"
